"PROGRAMA_ORIGEN";"PROGRAMA_USADO"
"A_CHISAR";"A_MALMAC"
"A_CHISAR";"A_MARTIC"
"A_CHISAR";"A_MARTIC"
"A_CHISAR";"A_MZONAL"
"A_CHISAR";"A_MZONAL"
"A_CHISAR";"A_MCODMO"
"A_CHISAR";"A_MSITST"
"A_CHISAR";"A_MSITST"
"A_CHISAR";"A_MTIPMO"
"A_CHISAR";"A_MTIPMO"
"A_CHISAR";"A_MCODMO"
"A_CHISAR";"A_MZONAL"
"A_CIEPAL";"A_MALMAC"
"A_CIEPAL";"TIPOPERI"
"A_CIEROT";"F_MTIPED"
"A_CIEROT";"F_MTIPED"
"A_CIEROT";"A_MCODMO"
"A_CIEROT";"F_MTIPED"
"A_CMAPUB";"A_MZONAL"
"A_CMAPUB";"A_MZONAL"
"A_CMAPUB";"A_MTIPUB"
"A_CMAPUB";"A_MTIPUB"
"A_CMAPUB";"A_MTIPUB"
"A_CMAPUB";"A_MZONAL"
"A_CMAPUB";"A_MALMAC"
"A_CMAPUB";"A_MALMAC"
"A_CMAPUB";"A_MALMAC"
"A_CMAPUB";"A_MARTIC"
"A_CMAUBL";"A_MTIPMO"
"A_CMAUBL";"A_MZONAL"
"A_CMAUBL";"A_MZONAL"
"A_CMAUBL";"A_MALMAC"
"A_CMAUBL";"PROVEED"
"A_CMAUBL";"A_MZONAL"
"A_CMAUBL";"A_MALMAC"
"A_CMAUBL";"A_MALMAC"
"A_CMBTPL";"A_TIPPAL"
"A_CMBTPL";"A_RECIPI"
"A_COFEXI";"A_MARTIC"
"A_COFEXI";"CLIENTES"
"A_COFEXI";"A_MARTIC"
"A_COFEXI";"CLIENTES"
"A_COFEXI";"CLIENTES"
"A_COFEXI";"A_MARTIC"
"A_COFEXI";"A_MARTIC"
"A_CONTM";"A_MCODMO"
"A_CONTM";"A_MTIPMO"
"A_CONTMGBA";"MGRUPCEN"
"A_CONTMGBA";"A_MALMAC"
"A_COSTAL";"A_MALMAC"
"A_COSTAL";"A_MZONAL"
"A_COSTAL";"A_MZONAL"
"A_COSTAL";"A_MALMAC"
"A_COSTAL";"A_MARTIC"
"A_CSTCAD";"A_MALMAC"
"A_CSTCAD";"A_MCOESA"
"A_CSTCAD";"A_MCOESA"
"A_CSTCAD";"A_MCOESA"
"A_CSTCAD";"A_MALMAC"
"A_CSTCAD";"A_MARTIC"
"A_CSTCAD";"A_MARTIC"
"A_CSTCAD";"A_MCOESA"
"A_CSTCAD";"A_MCOESA"
"A_CSTCAD";"A_MCOESA"
"A_CSTCAD";"A_MZONAL"
